filename;tini;tfin;m_event_type;user;date_time_annotation;freqmin;freqmax
BCA_N_2_20221025_070849.wav;49,8675;50,314;Dolphin whistle;Carles Gallardo;2022-12-12 12:34:57;8089,00062;12145,8694
BCA_N_2_20221025_070849.wav;94,6222;94,7351;Dolphin whistle;Carles Gallardo;2022-12-12 12:35:17;13333,2457;13976,4078
BCA_N_2_20221025_071359.wav;67,9951;68,6132;Dolphin whistle;Carles Gallardo;2022-12-12 12:36:16;12096,3954;13679,5637
BCA_N_2_20221025_071359.wav;69,1995;69,4743;Dolphin whistle;Carles Gallardo;2022-12-12 12:36:30;14866,94;19863,815
BCA_N_2_20221025_072929.wav;161,3189;161,9468;Dolphin whistle;Carles Gallardo;2022-12-12 12:40:22;8930,0588;10612,1751
BCA_N_2_20221025_072929.wav;163,0826;163,3818;Dolphin whistle;Carles Gallardo;2022-12-12 12:40:31;9622,6949;10612,1751
BCA_N_2_20221025_073441.wav;153,6754;153,8275;Dolphin whistle;Carles Gallardo;2022-12-12 12:41:25;4477,3979;5170,034
BCA_N_2_20221025_073441.wav;154,5683;154,7596;Dolphin whistle;Carles Gallardo;2022-12-12 12:41:35;4477,3979;5268,9821
BCA_N_2_20221025_073441.wav;155,7094;155,8773;Dolphin whistle;Carles Gallardo;2022-12-12 12:41:44;4180,5538;5071,086
BCA_N_2_20221025_074459.wav;141,8078;143,5592;sperm whale Eclicks;Carles Gallardo;2022-12-12 12:45:06;6682,1473;25586,0458
BCA_N_2_20221025_075517.wav;128,9667;129,8694;Dolphin echolocation clicks;Carles Gallardo;2022-12-12 12:52:07;22805,9406;45285,1485
BCA_N_2_20221025_075517.wav;134,8146;135,6486;Dolphin echolocation clicks;Carles Gallardo;2022-12-12 12:52:30;20453,4653;40188,1188
BCA_N_2_20221025_075517.wav;148,9569;152,9095;Dolphin echolocation clicks;Carles Gallardo;2022-12-12 12:52:59;32477,2277;45154,4554
BCA_N_2_20221025_075517.wav;153,3703;154,6988;Dolphin echolocation clicks;Carles Gallardo;2022-12-12 12:53:18;17447,5248;44370,297
BCA_N_2_20221025_075517.wav;155,4571;159,2785;Dolphin echolocation clicks;Carles Gallardo;2022-12-12 12:53:56;19669,3069;45938,6139
