Id;UID;UTC;UTCMilliseconds;PCLocalTime;PCTime;ChannelBitmap;SequenceBitmap;GpsDate;GPSTime;Latitude;Longitude;Speed;SpeedType;Heading;HeadingType;TrueHeading;MagneticHeading;MagneticVariation;GPSError;DataStatus;FixType
1;1;2023-05-31 06:57:57.791;791;2023-05-31 06:57:57.791;2023-05-31 06:57:57.795;0;NaN;2023-05-31 06:57:57.000;65757000;37.4697303333333;-1.25837166666667;0;N ;0;T ;NaN;NaN;0.601858564063738;0;A  ;A  
2;2;2023-05-31 06:57:57.792;792;2023-05-31 06:57:57.792;2023-05-31 06:57:57.802;0;NaN;2023-05-31 06:57:58.000;65758000;37.4697315;-1.25834833333333;4.00805106925451;N ;86.3952389925657;T ;NaN;NaN;0.601864435784686;0;A  ;A  
3;3;2023-05-31 06:58:01.271;271;2023-05-31 06:58:01.271;2023-05-31 06:58:01.275;0;NaN;2023-05-31 06:58:02.000;65802000;37.4697423333333;-1.25825283333333;4.13457577086234;N ;81.8659404573594;T ;NaN;NaN;0.601888529767205;0;A  ;A  
4;4;2023-05-31 06:58:10.260;260;2023-05-31 06:58:10.260;2023-05-31 06:58:10.263;0;NaN;2023-05-31 06:58:11.000;65811000;37.469757;-1.25803816666667;4.1041346095324;N ;85.0798585699154;T ;NaN;NaN;0.601942588919651;0;A  ;A  
5;5;2023-05-31 06:58:13.382;382;2023-05-31 06:58:13.382;2023-05-31 06:58:13.383;0;NaN;2023-05-31 06:58:14.000;65814000;37.4697573333333;-1.25798166666667;3.22875729577435;N ;89.5741050682597;T ;NaN;NaN;0.60195678309372;0;A  ;A  
6;6;2023-05-31 06:58:14.420;420;2023-05-31 06:58:14.420;2023-05-31 06:58:14.424;0;NaN;2023-05-31 06:58:15.000;65815000;37.4697573333333;-1.2579605;3.62868006457854;N ;90;T ;NaN;NaN;0.601962098957907;0;A  ;A  
7;7;2023-05-31 06:58:39.363;363;2023-05-31 06:58:39.363;2023-05-31 06:58:39.365;0;NaN;2023-05-31 06:58:38.000;65838000;37.469754;-1.25746716666667;3.67726205057308;N ;90.4877619952171;T ;NaN;NaN;0.602085959789498;0;A  ;A  
8;8;2023-05-31 06:58:39.712;712;2023-05-31 06:58:39.712;2023-05-31 06:58:39.718;0;NaN;2023-05-31 06:58:40.000;65840000;37.4697613333333;-1.25742116666667;4.02173062199646;N ;78.6425005286277;T ;NaN;NaN;0.602097586914472;0;A  ;A  
9;9;2023-05-31 06:58:42.343;343;2023-05-31 06:58:42.343;2023-05-31 06:58:42.349;0;NaN;2023-05-31 06:58:43.000;65843000;37.4697585;-1.25735133333333;3.99580638086135;N ;92.9264237069213;T ;NaN;NaN;0.602115094559904;0;A  ;A  
10;10;2023-05-31 06:58:47.431;431;2023-05-31 06:58:47.431;2023-05-31 06:58:47.432;0;NaN;2023-05-31 06:58:48.000;65848000;37.4697573333333;-1.2572405;3.80044794562472;N ;90.7598556727118;T ;NaN;NaN;0.602142916107233;0;A  ;A  
11;11;2023-05-31 06:59:26.757;757;2023-05-31 06:59:26.757;2023-05-31 06:59:26.760;0;NaN;2023-05-31 06:59:27.000;65927000;37.4697236666667;-1.25633116666667;4.00153684551179;N ;92.6708061430943;T ;NaN;NaN;0.602370919339079;0;A  ;A  
12;12;2023-05-31 06:59:27.265;265;2023-05-31 06:59:27.265;2023-05-31 06:59:27.269;0;NaN;2023-05-31 06:59:28.000;65928000;37.469721;-1.256307;4.18283218627839;N ;97.915108958266;T ;NaN;NaN;0.602376960360027;0;A  ;A  
13;13;2023-05-31 06:59:36.241;241;2023-05-31 06:59:36.241;2023-05-31 06:59:36.246;0;NaN;2023-05-31 06:59:37.000;65937000;37.4697366666667;-1.25608033333333;4.33393239219417;N ;85.0229195091248;T ;NaN;NaN;0.602434037610948;0;A  ;A  
14;14;2023-05-31 06:59:42.437;437;2023-05-31 06:59:42.437;2023-05-31 06:59:42.442;0;NaN;2023-05-31 06:59:43.000;65943000;37.469743;-1.255922;4.52968780439664;N ;87.1148209809795;T ;NaN;NaN;0.602473859094305;0;A  ;A  
15;15;2023-05-31 06:59:46.395;395;2023-05-31 06:59:46.395;2023-05-31 06:59:46.401;0;NaN;2023-05-31 06:59:47.000;65947000;37.4697455;-1.2558195;4.39506326800414;N ;88.2398098533528;T ;NaN;NaN;0.602499622093435;0;A  ;A  
16;16;2023-05-31 07:00:13.275;275;2023-05-31 07:00:13.275;2023-05-31 07:00:13.280;0;NaN;2023-05-31 07:00:14.000;70014000;37.4695941666667;-1.25513833333333;4.49125354582356;N ;105.638143744051;T ;NaN;NaN;0.602669102459953;0;A  ;A  
17;17;2023-05-31 07:00:20.259;259;2023-05-31 07:00:20.259;2023-05-31 07:00:20.265;0;NaN;2023-05-31 07:00:21.000;70021000;37.4696015;-1.255007;3.22437980992134;N ;85.9756965726757;T ;NaN;NaN;0.602702160529413;0;A  ;A  
